"id","jahr_an_anno","plz_npa","verbund_communaute_comunita","anzahl_nombre_quantita","flag","geo_point_2d"
"3545",2018,6048,"Libero",4,3,"47.0123641094, 8.3050237086"
"3546",2018,6055,"Passepartout",266,NA,"46.9502718908, 8.22746417457"
"3547",2018,6060,"ZVV",3,3,"46.9149694213, 8.20924009174"
"3548",2018,6060,"Passepartout",268,NA,"46.9149694213, 8.20924009174"
"3549",2018,6062,"Passepartout",28,NA,"46.8718101403, 8.2080773086"
"3550",2018,6063,"Passepartout",23,NA,"46.8956732103, 8.1499276518"
"3551",2018,6064,"ZVV",3,3,"46.9083693868, 8.30388079854"
"3552",2018,6066,"ZVV",3,3,"46.8744633735, 8.30367590406"
"3553",2018,6074,"Passepartout",136,NA,"46.8388284621, 8.12299734605"
"3554",2018,6078,"Passepartout",45,NA,"46.7863614072, 8.1685097582"
"3555",2018,6084,"TV BEO (nach Libero)",7,3,"46.755904312, 8.20959297512"
"3556",2018,6085,"TV BEO (nach Libero)",7,3,"46.7397341082, 8.1973302877"
"3557",2018,6103,"Passepartout",52,NA,"46.9996360868, 8.1748182357"
"3558",2018,6106,"Passepartout",26,NA,"47.0485385901, 8.10547999221"
"3559",2018,6144,"Passepartout",39,NA,"47.1405916932, 7.93268566637"
"3560",2018,6167,"Passepartout",3,3,"46.9865136856, 7.97352163937"
"3561",2018,6182,"Libero",4,3,"46.9250973002, 7.94372687941"
"3562",2018,6192,"Passepartout",3,3,"46.8791968821, 7.94506386687"
"3563",2018,6192,"Libero",4,3,"46.8791968821, 7.94506386687"
"3564",2018,6196,"Libero",4,3,"46.8569755613, 7.91009082794"
"3565",2018,6197,"Libero",4,3,"46.812032139, 7.88692775822"
"3566",2018,6206,"ZVV",3,3,"47.0981599879, 8.2019434963"
"3567",2018,6207,"ZVV",3,3,"47.1316751011, 8.14208605312"
"3568",2018,6210,"Libero",4,3,"47.1778340686, 8.10567019894"
"3569",2018,6210,"Z-Pass A-Welle",4,3,"47.1778340686, 8.10567019894"
"3570",2018,6218,"Passepartout",59,NA,"47.150085098, 8.01938209828"
"3571",2018,6232,"Libero",4,3,"47.2031673263, 8.1175339007"
"3572",2018,6234,"Z-Pass A-Welle",4,3,"47.2387513894, 8.08181998061"
"3573",2018,6235,"A-Welle",5,3,"47.2348677442, 8.0429427725"
"3574",2018,6235,"Passepartout",21,NA,"47.2348677442, 8.0429427725"
"3575",2018,6243,"ZVV",3,3,"47.1853711579, 8.0046234195"
"3576",2018,6252,"Passepartout",125,NA,"47.2172603162, 7.99609071022"
"3577",2018,6260,"ZVV",3,3,"47.2498896212, 8.00005598016"
"3578",2018,6264,"Passepartout",3,3,"47.2310626311, 7.90189763286"
"3579",2018,6274,"Z-Pass Schwyz/Zug",4,3,"47.1293511074, 8.31347680326"
"3580",2018,6275,"Passepartout",183,NA,"47.155639477, 8.33624676808"
"3581",2018,6280,"Z-Pass Schwyz/Zug",4,3,"47.1679417703, 8.28577116613"
"3582",2018,6280,"ZVV",3,3,"47.1679417703, 8.28577116613"
"3583",2018,6283,"ZVV",3,3,"47.1861132308, 8.27241646528"
"3584",2018,6285,"ZVV",3,3,"47.2239637468, 8.25888020075"
"3585",2018,6285,"A-Welle",5,3,"47.2239637468, 8.25888020075"
"3586",2018,6287,"Z-Pass A-Welle",4,3,"47.25955222, 8.23957865696"
"3587",2018,6287,"ZVV",3,3,"47.25955222, 8.23957865696"
"3588",2018,6288,"Tarifverbund Zug",3,3,"47.268403933, 8.27242069877"
"3589",2018,6294,"ZVV",3,3,"47.2267818889, 8.2354979341"
"3590",2018,6300,"ZVV",48,NA,"47.142615227, 8.53308172677"
"3591",2018,6300,"A-Welle",5,3,"47.142615227, 8.53308172677"
"3592",2018,6300,"Arcobaleno",5,3,"47.142615227, 8.53308172677"
"3593",2018,6304,"Tarifverbund Zug",3,3,""
"3594",2018,6306,"Tarifverbund Zug",3,3,""
"3595",2018,6312,"OSTWIND",5,3,"47.2005758877, 8.48869006537"
"3596",2018,6312,"A-Welle",5,3,"47.2005758877, 8.48869006537"
"3597",2018,6314,"OSTWIND",5,3,"47.1215291105, 8.58191239452"
"3598",2018,6314,"Z-Pass Schwyz/Zug",75,NA,"47.1215291105, 8.58191239452"
"3599",2018,6317,"Z-Pass Schwyz/Zug",40,NA,"47.1368603424, 8.50130840507"
"3600",2018,6318,"Arcobaleno",5,3,"47.1077818748, 8.53141931964"
"3601",2018,6319,"Z-Pass Schwyz/Zug",26,NA,"47.1660630166, 8.55089519608"
"3602",2018,6330,"Passepartout",3,3,"47.1958460161, 8.45742594809"
"3603",2018,6331,"Passepartout",3,3,"47.1943569969, 8.41798357938"
"3604",2018,6331,"Z-Pass A-Welle",4,3,"47.1943569969, 8.41798357938"
"3605",2018,6332,"Tarifverbund Zug",238,NA,"47.2120360225, 8.43072572329"
"3606",2018,6340,"OSTWIND",5,3,"47.2303878737, 8.57395938102"
"3607",2018,6340,"Tarifverbund Zug",2030,NA,"47.2303878737, 8.57395938102"
"3608",2018,6340,"A-Welle",5,3,"47.2303878737, 8.57395938102"
"3609",2018,6343,"Z-Pass Schwyz/Zug",124,NA,"47.1396393776, 8.46022981791"
"3610",2018,6344,"Tarifverbund Zug",75,NA,"47.1164837663, 8.4538046761"
"3611",2018,6345,"Tarifverbund Zug",145,NA,"47.200902487, 8.58489773166"
"3612",2018,6345,"Libero",4,3,"47.200902487, 8.58489773166"
